segment,vehicle_type,scenario,year,gco2e_per_km,reduction_vs_ice_pct,source,notes
A_car,gasoline_ice,baseline,2023,246,,ICCT,"Passenger A car gasoline ICEV lifecycle emissions."
A_car,bev,baseline,2023,127,49,ICCT,"BEV baseline electricity scenario."
A_car,bev,baseline,2030,113,53,ICCT,"BEV baseline electricity scenario."
A_car,bev,net_zero_2060,2023,108,56,ICCT,"BEV net-zero 2060 electricity scenario."
A_car,bev,net_zero_2060,2030,80,67,ICCT,"BEV net-zero 2060 electricity scenario."
SUV,gasoline_ice,baseline,2023,316,,ICCT,"SUV gasoline ICEV lifecycle emissions."
SUV,hev,baseline,2023,230,27,ICCT,"Hybrid electric vehicle lifecycle emissions."
SUV,phev,baseline,2023,290,8,ICCT,"Plug-in hybrid lifecycle emissions."
SUV,phev,baseline,2030,272,13,ICCT,"Plug-in hybrid lifecycle emissions."
SUV,bev,baseline,2023,167,47,ICCT,"BEV baseline electricity scenario."
SUV,bev,baseline,2030,150,52,ICCT,"BEV baseline electricity scenario."
SUV,bev,net_zero_2060,2023,145,54,ICCT,"BEV net-zero 2060 electricity scenario."
SUV,bev,net_zero_2060,2030,109,65,ICCT,"BEV net-zero 2060 electricity scenario."
MPV,gasoline_ice,baseline,2023,420,,ICCT,"MPV gasoline ICEV lifecycle emissions."
MPV,bev,baseline,2023,224,47,ICCT,"BEV baseline electricity scenario."
MPV,bev,baseline,2030,201,51,ICCT,"BEV baseline electricity scenario."
MPV,bev,net_zero_2060,2023,194,54,ICCT,"BEV net-zero 2060 electricity scenario."
MPV,bev,net_zero_2060,2030,145,65,ICCT,"BEV net-zero 2060 electricity scenario."
Scooter,gasoline_ice,baseline,2023,74,,ICCT,"Gasoline scooter lifecycle emissions."
Scooter,bev,baseline,2023,54,26,ICCT,"Electric scooter baseline electricity scenario."
Scooter,bev,baseline,2030,48,34,ICCT,"Electric scooter baseline electricity scenario."
Scooter,bev,net_zero_2060,2023,48,35,ICCT,"Electric scooter net-zero 2060 electricity scenario."
Scooter,bev,net_zero_2060,2030,36,51,ICCT,"Electric scooter net-zero 2060 electricity scenario."
